series,episode,baker,baker_last_name,baker_age,hometown,baker_occupation,technical,result,signature_bake,show_stopper
6,3,Flora,Shedden,19,"Dunkeld, Perth and Kinross",Art gallery assistant,2,IN,Fig and Hazelnut Rye Breads,Herb Couture
6,3,Tamal,Ray,29,Manchester,Trainee anaesthetist,3,IN,"Fig, Cheese and Walnut Breads",Breadcycle
6,3,Alvin,Magallanes,37,"Bracknell, Berkshire",Nurse,4,IN,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia
6,3,Ugnė,NA,NA,NA,NA,5,IN,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket
6,3,Dorret,Conway,53,"Penwortham, Lancashire",Accountant,6,OUT,Walnut and Stilton Soda Breads,Unmade Bread
6,3,Sandy,Docherty,49,"Yeadon, West Yorkshire",Child welfare officer,7,IN,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre
6,3,Mat,Riley,37,London,Fire fighter,8,IN,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion
6,3,Nadiya,Hussain,30,Leeds / Luton,Full-time mother,9,IN,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket
6,3,Paul,Jagger,49,"Swansea, Wales",Prison governor,10,IN,Cranberry and Orange Sweet Soda Breads,King of the Jungle
6,4,Paul,Jagger,49,"Swansea, Wales",Prison governor,1,IN,Almond Crème Brûlées,Berry Cheesecake Tower
6,4,Ugnė,NA,NA,NA,NA,2,IN,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes"
6,4,Flora,Shedden,19,"Dunkeld, Perth and Kinross",Art gallery assistant,3,IN,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes
6,4,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",Travel photographer,4,STAR BAKER,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes
6,4,Tamal,Ray,29,Manchester,Trainee anaesthetist,5,IN,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio"
6,4,Sandy,Docherty,49,"Yeadon, West Yorkshire",Child welfare officer,6,OUT,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes"
6,4,Mat,Riley,37,London,Fire fighter,7,IN,Coconut Crème Brûlées,Chocolate Bar Cheesecakes
6,4,Nadiya,Hussain,30,Leeds / Luton,Full-time mother,8,IN,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes
6,4,Alvin,Magallanes,37,"Bracknell, Berkshire",Nurse,9,IN,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes
6,5,Nadiya,Hussain,30,Leeds / Luton,Full-time mother,1,STAR BAKER,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll
6,5,Paul,Jagger,49,"Swansea, Wales",Prison governor,2,IN,Carrot & Pecan Cake,Dessert Island Getaway
6,5,Flora,Shedden,19,"Dunkeld, Perth and Kinross",Art gallery assistant,3,IN,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche
6,5,Mat,Riley,37,London,Fire fighter,4,IN,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll
6,5,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",Travel photographer,5,IN,Honey and Flowers Cake,Dessert Island
6,5,Ugnė,NA,NA,NA,NA,6,OUT,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll"
6,5,Tamal,Ray,29,Manchester,Trainee anaesthetist,7,IN,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll
6,5,Alvin,Magallanes,37,"Bracknell, Berkshire",Nurse,8,IN,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
6,6,Mat,Riley,37,London,Fire fighter,1,STAR BAKER,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents
6,6,Flora,Shedden,19,"Dunkeld, Perth and Kinross",Art gallery assistant,2,IN,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents
6,6,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",Travel photographer,3,IN,Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer
6,6,Nadiya,Hussain,30,Leeds / Luton,Full-time mother,4,IN,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents
6,6,Paul,Jagger,49,"Swansea, Wales",Prison governor,5,IN,Christmas Frangipane Tart,Savoury and Sweet Bouchées
6,6,Alvin,Magallanes,37,"Bracknell, Berkshire",Nurse,6,OUT,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
6,6,Tamal,Ray,29,Manchester,Trainee anaesthetist,7,IN,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents
6,7,Nadiya,Hussain,30,Leeds / Luton,Full-time mother,1,IN,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe
6,7,Paul,Jagger,49,"Swansea, Wales",Prison governor,2,IN,Not a Boaring Pie,Charlotte Rose
6,7,Tamal,Ray,29,Manchester,Trainee anaesthetist,3,STAR BAKER,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe"
6,7,Flora,Shedden,19,"Dunkeld, Perth and Kinross",Art gallery assistant,4,IN,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe"
6,7,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",Travel photographer,5,IN,Roadkill Pie,Victoria's Crown Charlotte Russe
6,7,Mat,Riley,37,London,Fire fighter,6,OUT,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe
6,8,Nadiya,Hussain,30,Leeds / Luton,Full-time mother,1,STAR BAKER,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne
6,8,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",Travel photographer,2,IN,Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions
6,8,Flora,Shedden,19,"Dunkeld, Perth and Kinross",Art gallery assistant,3,IN,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne
6,8,Tamal,Ray,29,Manchester,Trainee anaesthetist,4,IN,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne
6,8,Paul,Jagger,49,"Swansea, Wales",Prison governor,5,OUT,Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne
6,9,Flora,Shedden,19,"Dunkeld, Perth and Kinross",Art gallery assistant,1,OUT,Passion Fruit and Chocolate Tart,Cocoa Carousel
6,9,Tamal,Ray,29,Manchester,Trainee anaesthetist,2,IN,Chocolate New York Pie,Chocolate Bell Tower
6,9,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",Travel photographer,3,IN,Chocolate and Bay Tart,Chocolate Well
6,9,Nadiya,Hussain,30,Leeds / Luton,Full-time mother,4,STAR BAKER,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door
6,10,Nadiya,Hussain,30,Leeds / Luton,Full-time mother,1,WINNER,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake
6,10,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",Travel photographer,2,Runner-up,Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake
6,10,Tamal,Ray,29,Manchester,Trainee anaesthetist,3,Runner-up,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake
7,1,Selasi,Gbormittah,30,London,Client service associate,1,IN,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake"
7,1,Tom,Gilliford,26,Rochdale,Project engagement manager,2,IN,G&T Drizzle Cake,Black Forest Broken Mirror
7,1,Michael,Georgiou,20,Durham,Student,3,IN,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze
7,1,Kate,Barmby,37,"Brooke, Norfolk",Nurse,4,IN,Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake
7,1,Candice,Brown,31,"Barton-Le-Clay, Bedfordshire",PE teacher,5,IN,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
7,1,Benjamina,Ebuehi,23,South London,Teaching assistant,6,IN,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream
7,1,Jane,Beedle,61,Beckenham,Garden designer,7,STAR BAKER,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake
7,1,Rav,Bansal,28,Erith,Student support,8,IN,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake
7,1,Louise,Williams,46,Cardiff,Hairdresser,9,IN,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake
7,1,Val,Stones,66,Yeovil,"Semi-retired, Substitute teacher",10,IN,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting
7,1,Lee,Banfield,67,Bolton,Pastor,11,OUT,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake
7,1,Andrew,Smyth,25,"Derby / Holywood, County Down",Aerospace engineer,12,IN,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake
7,2,Kate,Barmby,37,"Brooke, Norfolk",Nurse,1,IN,"""A Biscuit for the Broads""","""I Promise I will do my best"""
7,2,Jane,Beedle,61,Beckenham,Garden designer,2,IN,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat
7,2,Benjamina,Ebuehi,23,South London,Teaching assistant,3,IN,Bouquet Biscuits,"New York, New York"
7,2,Andrew,Smyth,25,"Derby / Holywood, County Down",Aerospace engineer,4,IN,Beehive Biscuits,Punting in Cambridge
7,2,Val,Stones,66,Yeovil,"Semi-retired, Substitute teacher",5,IN,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire
7,2,Rav,Bansal,28,Erith,Student support,6,IN,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground
7,2,Tom,Gilliford,26,Rochdale,Project engagement manager,7,IN,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience
7,2,Candice,Brown,31,"Barton-Le-Clay, Bedfordshire",PE teacher,8,STAR BAKER,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet
7,2,Michael,Georgiou,20,Durham,Student,9,IN,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland
7,2,Louise,Williams,46,Cardiff,Hairdresser,10,OUT,Baa Bara Brith Biscuits,Gingerbread Wedding
7,2,Selasi,Gbormittah,30,London,Client service associate,11,IN,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church
7,3,Val,Stones,66,Yeovil,"Semi-retired, Substitute teacher",1,IN,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain"""
7,3,Andrew,Smyth,25,"Derby / Holywood, County Down",Aerospace engineer,2,IN,Chocolate Barmbrack Bread,Braided Harvest Bread Basket
7,3,Candice,Brown,31,"Barton-Le-Clay, Bedfordshire",PE teacher,3,IN,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist
7,3,Tom,Gilliford,26,Rochdale,Project engagement manager,4,STAR BAKER,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir
7,3,Selasi,Gbormittah,30,London,Client service associate,5,IN,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread
7,3,Benjamina,Ebuehi,23,South London,Teaching assistant,6,IN,"Chocolate, Tahini and Almond Babka",Braided Bread Heart
7,3,Michael,Georgiou,20,Durham,Student,7,OUT,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous
7,3,Kate,Barmby,37,"Brooke, Norfolk",Nurse,8,IN,Cobbled Loaf,The Corn Maiden
7,3,Jane,Beedle,61,Beckenham,Garden designer,9,IN,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre
7,3,Rav,Bansal,28,Erith,Student support,10,IN,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece
7,4,Benjamina,Ebuehi,23,South London,Teaching assistant,1,STAR BAKER,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros
7,4,Candice,Brown,31,"Barton-Le-Clay, Bedfordshire",PE teacher,2,IN,Yorkshire Wellingtons,Two-Way Peanut Butter Churros
7,4,Jane,Beedle,61,Beckenham,Garden designer,3,IN,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros
7,4,Andrew,Smyth,25,"Derby / Holywood, County Down",Aerospace engineer,4,IN,Yorkshire 'Tapas' Puddings,Churros Window Box
7,4,Tom,Gilliford,26,Rochdale,Project engagement manager,5,IN,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass
7,4,Val,Stones,66,Yeovil,"Semi-retired, Substitute teacher",6,IN,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros
7,4,Kate,Barmby,37,"Brooke, Norfolk",Nurse,7,OUT,Christmas Dinner Compromise,Hot Cross Bunny Churros
7,4,Selasi,Gbormittah,30,London,Client service associate,8,IN,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros
7,4,Rav,Bansal,28,Erith,Student support,9,IN,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros
7,5,Jane,Beedle,61,Beckenham,Garden designer,1,IN,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones"
7,5,Candice,Brown,31,"Barton-Le-Clay, Bedfordshire",PE teacher,2,STAR BAKER,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups"
7,5,Selasi,Gbormittah,30,London,Client service associate,3,IN,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups"
7,5,Tom,Gilliford,26,Rochdale,Project engagement manager,4,IN,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche
7,5,Benjamina,Ebuehi,23,South London,Teaching assistant,5,IN,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups
7,5,Andrew,Smyth,25,"Derby / Holywood, County Down",Aerospace engineer,6,IN,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites
7,5,Val,Stones,66,Yeovil,"Semi-retired, Substitute teacher",7,OUT,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels"
7,5,Rav,Bansal,28,Erith,Student support,8,IN,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas
7,6,Tom,Gilliford,26,Rochdale,Project engagement manager,1,STAR BAKER,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake
7,6,Benjamina,Ebuehi,23,South London,Teaching assistant,2,IN,Grapefruit and Ginger Meringue Pie,Floral Tea Cake
7,6,Rav,Bansal,28,Erith,Student support,3,OUT,Mandarin Margarita Meringue Pie,Blossom Cake
7,6,Jane,Beedle,61,Beckenham,Garden designer,4,IN,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar
7,6,Candice,Brown,31,"Barton-Le-Clay, Bedfordshire",PE teacher,5,IN,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake
7,6,Andrew,Smyth,25,"Derby / Holywood, County Down",Aerospace engineer,6,IN,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio
7,6,Selasi,Gbormittah,30,London,Client service associate,7,IN,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake
7,7,Andrew,Smyth,25,"Derby / Holywood, County Down",Aerospace engineer,1,STAR BAKER,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes
7,7,Candice,Brown,31,"Barton-Le-Clay, Bedfordshire",PE teacher,2,IN,Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse
7,7,Benjamina,Ebuehi,23,South London,Teaching assistant,3,IN,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake
7,7,Jane,Beedle,61,Beckenham,Garden designer,4,IN,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses"
7,7,Tom,Gilliford,26,Rochdale,Project engagement manager,5,OUT,Millionaire's Roulade,Hipster Picnic
7,7,Selasi,Gbormittah,30,London,Client service associate,6,IN,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes"
7,8,Candice,Brown,31,"Barton-Le-Clay, Bedfordshire",PE teacher,1,STAR BAKER,Cheesy Cheeky Fish Pies,Peacock
7,8,Andrew,Smyth,25,"Derby / Holywood, County Down",Aerospace engineer,2,IN,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane
7,8,Selasi,Gbormittah,30,London,Client service associate,3,IN,Bouquet of Flowers,Fruity Tudor Marchpane
7,8,Benjamina,Ebuehi,23,South London,Teaching assistant,4,OUT,Mexican Adventure,Tudor Garden
7,8,Jane,Beedle,61,Beckenham,Garden designer,5,IN,Tudor Rose Pies,Swans
7,9,Jane,Beedle,61,Beckenham,Garden designer,1,IN,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies
7,9,Andrew,Smyth,25,"Derby / Holywood, County Down",Aerospace engineer,2,STAR BAKER,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants
7,9,Candice,Brown,31,"Barton-Le-Clay, Bedfordshire",PE teacher,3,IN,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies
7,9,Selasi,Gbormittah,30,London,Client service associate,4,OUT,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies
7,10,Andrew,Smyth,25,"Derby / Holywood, County Down",Aerospace engineer,1,Runner-up,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic
7,10,Candice,Brown,31,"Barton-Le-Clay, Bedfordshire",PE teacher,2,WINNER,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens
7,10,Jane,Beedle,61,Beckenham,Garden designer,3,Runner-up,"Red, White and Blue Meringue Crown",Family Favourites Feast
8,1,Kate,Lyon,29,Merseyside,Health and safety inspector,1,IN,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake
8,1,James,Hillery,46,"Brentwood, Essex",Banker,2,IN,"Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake
8,1,Julia,Chernogorova,21,"Crawley, West Sussex",Aviation Broker,3,IN,Courgette and Lemon Cake,'Russian Doll' Cake
8,1,Yan,Tsou,46,North London,Laboratory research scientist,4,IN,Windfall Apple Crumble Cake,'Banana-ramen' Cake
8,1,Sophie,Faldo,33,"West Molesey, Surrey",Former army officer and trainee stuntwoman,5,IN,Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake
8,1,Steven,Carter,34,"Watford, Hertfordshire",Marketer,6,STAR BAKER,Bonfire Night Cake,'A Baker's Lunch' Cake
8,1,Tom,Hetherington,29,Edinburgh,Architect,7,IN,Gilded Pear and Cardamom Cake,'Stack of Books' Cake
8,1,Liam,Charles,19,North London,Student,8,IN,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake
8,1,Flo,Atkins,71,Merseyside,Retired,9,IN,Citrus Layer Cake,'One in a Melon' Cake
8,1,Peter,Abatan,52,"Southend, Essex",IT programme manager,10,OUT,Coconut Cake,'Bread on a Breadboard' Cake
8,1,Stacey,Hart,42,"Radlett, Hertfordshire",Former school teacher,11,IN,Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake
8,1,Chris,Geiger,50,Bristol,Software developer,12,IN,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake
8,2,Yan,Tsou,46,North London,Laboratory research scientist,1,IN,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game
8,2,Sophie,Faldo,33,"West Molesey, Surrey",Former army officer and trainee stuntwoman,2,IN,Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game
8,2,James,Hillery,46,"Brentwood, Essex",Banker,3,IN,Rhubarb and Custard Whirls,'Coppit' Game
8,2,Julia,Chernogorova,21,"Crawley, West Sussex",Aviation Broker,4,IN,Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game
8,2,Tom,Hetherington,29,Edinburgh,Architect,5,IN,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game
8,2,Steven,Carter,34,"Watford, Hertfordshire",Marketer,6,STAR BAKER,Amarpressi Biscuits,'Check Bake' Game
8,2,Liam,Charles,19,North London,Student,7,IN,Coffee Malted Pecan Shorties,'Classroom Classics' Game
8,2,Kate,Lyon,29,Merseyside,Health and safety inspector,8,IN,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game
8,2,Stacey,Hart,42,"Radlett, Hertfordshire",Former school teacher,9,IN,Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game
8,2,Flo,Atkins,71,Merseyside,Retired,10,IN,Gin Jam Butties,'Pick My Bones' Game
8,2,Chris,Geiger,50,Bristol,Software developer,11,OUT,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game
8,3,Stacey,Hart,42,"Radlett, Hertfordshire",Former school teacher,1,IN,Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture
8,3,Julia,Chernogorova,21,"Crawley, West Sussex",Aviation Broker,2,STAR BAKER,Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture
8,3,Steven,Carter,34,"Watford, Hertfordshire",Marketer,3,IN,Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture
8,3,Tom,Hetherington,29,Edinburgh,Architect,4,IN,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture
8,3,Liam,Charles,19,North London,Student,5,IN,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture
8,3,Sophie,Faldo,33,"West Molesey, Surrey",Former army officer and trainee stuntwoman,6,IN,Tagine Teacakes,'Picnic Basket' Bread Sculpture
8,3,Flo,Atkins,71,Merseyside,Retired,7,OUT,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture
8,3,Yan,Tsou,46,North London,Laboratory research scientist,8,IN,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture
8,3,James,Hillery,46,"Brentwood, Essex",Banker,9,IN,Nordic Teacakes,'Owl in the Woods' Bread Sculpture
8,3,Kate,Lyon,29,Merseyside,Health and safety inspector,10,IN,Blueberry Buns,'Kraken' Bread Sculpture
8,4,Stacey,Hart,42,"Radlett, Hertfordshire",Former school teacher,1,IN,Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake
8,4,James,Hillery,46,"Brentwood, Essex",Banker,2,IN,'Windy City' Millionaire Shortbreads,Nutty Caramel Cake
8,4,Liam,Charles,19,North London,Student,3,IN,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake
8,4,Sophie,Faldo,33,"West Molesey, Surrey",Former army officer and trainee stuntwoman,4,IN,Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake
8,4,Tom,Hetherington,29,Edinburgh,Architect,5,OUT,Stem Ginger Caramel Shortbreads,Hummingbird Cake
8,4,Kate,Lyon,29,Merseyside,Health and safety inspector,6,STAR BAKER,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake
8,4,Steven,Carter,34,"Watford, Hertfordshire",Marketer,7,IN,Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake
8,4,Yan,Tsou,46,North London,Laboratory research scientist,8,IN,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake
8,4,Julia,Chernogorova,21,"Crawley, West Sussex",Aviation Broker,9,IN,Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake
8,5,Sophie,Faldo,33,"West Molesey, Surrey",Former army officer and trainee stuntwoman,1,STAR BAKER,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine"
8,5,Liam,Charles,19,North London,Student,2,IN,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine
8,5,Julia,Chernogorova,21,"Crawley, West Sussex",Aviation Broker,3,IN,Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine
8,5,Stacey,Hart,42,"Radlett, Hertfordshire",Former school teacher,4,IN,Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine
8,5,Steven,Carter,34,"Watford, Hertfordshire",Marketer,5,IN,Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine
8,5,Yan,Tsou,46,North London,Laboratory research scientist,6,IN,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine
8,5,James,Hillery,46,"Brentwood, Essex",Banker,7,OUT,Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine
8,5,Kate,Lyon,29,Merseyside,Health and safety inspector,8,IN,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine
8,6,Yan,Tsou,46,North London,Laboratory research scientist,1,IN,'πr2' Decorative Pies,Chequerboard Pie
8,6,Sophie,Faldo,33,"West Molesey, Surrey",Former army officer and trainee stuntwoman,2,IN,'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits
8,6,Steven,Carter,34,"Watford, Hertfordshire",Marketer,3,IN,'Fleetwood Mac' Decorative Pies,Christmas Pie
8,6,Liam,Charles,19,North London,Student,4,STAR BAKER,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie
8,6,Kate,Lyon,29,Merseyside,Health and safety inspector,5,IN,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze
8,6,Stacey,Hart,42,"Radlett, Hertfordshire",Former school teacher,6,IN,'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango
8,6,Julia,Chernogorova,21,"Crawley, West Sussex",Aviation Broker,7,OUT,'Pies from the Tree' Decorative Pies,'Special Occasion' Pie
8,7,Steven,Carter,34,"Watford, Hertfordshire",Marketer,1,STAR BAKER,Italian Style Cannoli,'Sicilian-style' Sfogliatelle
8,7,Liam,Charles,19,North London,Student,2,IN,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle
